Japanese_Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
‎（のび太のパパ）えーと<br>‎あれはどこにしまったっけ？,‎（のび 太[た]のパパ）えーと<br>‎あれはどこにしまったっけ？,えーとあれはどこにしまったっけ,"<img src=""Doraemon_S01E816_Episode_21146.jpeg"">",[sound:Doraemon_S01E816_Episode_20996.mp3],(Bố Nobita) Ừm… Mình đã cất cái đó ở đâu nhỉ?,,,,(Nobita’s Dad) Umm… Where did I put that again?,,,しまう: 物[ぶつ]を 片付[かたづ]けること。,っけ: 思い出[おもいだ]し・ 確認[かくにん]の 終助詞[しゅうじょし]。,あれ: 遠[とお]くの 物[もの]を 指[さ]す。,,本[ほん]を 机[つくえ]の 引き出[ひきだ]しにしまった。,宿題[しゅくだい]をやったっけ？,あれは 私[わたし]の 本[ほん]です。,,[sound:hypertts-f5d86a5a09e8e9a928eeb4e8f6f0b5b96246539bf896c9d2152c9c19.mp3],[sound:hypertts-52a61c329e82fdf232e17204b237f54b91b84ec9efb29366fb49327e.mp3],[sound:hypertts-522ef360bc6c5117a8b1d661489ef2b53f4adfc5e7809b07f359527a.mp3],
‎（のび太のママ）何ですか！<br>‎こんなに散らかして！,‎（のび 太[た]のママ） 何[なに]ですか！<br>‎こんなに 散[ち]らかして！,何ですかこんなに散らかして,"<img src=""Doraemon_S01E816_Episode_44711.jpeg"">",[sound:Doraemon_S01E816_Episode_44561.mp3],(Mẹ Nobita) Cái gì thế này?! Sao bừa bộn thế này!,,,,(Nobita’s Mom) What is this?! How could you make such a mess!,,,散[ち]らかす: 物[ぶつ]を 乱雑[らんざつ]に 置[お]く。,こんなに: 程度[ていど]の 高[たか]さを 示[しめ]す。,何[なに]ですか: 驚[おどろ]きや 問[と]い。,,子供[こども]が 部屋[へや]を 散[ち]らかした。,こんなに 大[おお]きいとは 思[おも]わなかった。,これは 何[なに]ですか。,,[sound:hypertts-ff123795f6a2e47d0c98660bc745827bcc3ca0abace50e927966c812.mp3],[sound:hypertts-7380efec5d11c50121f778d7d84ded068e8effea82b3d6a98e40bbea.mp3],[sound:hypertts-ec6dc15e4f63c1e4b59b27ea5de2c210530e6b8ae4747e29ee4aa91b.mp3],
‎これくらいのほうが<br>‎僕は落ち着くんだよ,‎これくらいのほうが<br>‎ 僕[ぼく]は 落ち着[おちつ]くんだよ,これくらいのほうが僕は落ち着くんだよ,"<img src=""Doraemon_S01E816_Episode_52427.jpeg"">",[sound:Doraemon_S01E816_Episode_52277.mp3],Con thấy thoải mái hơn khi để thế này.,,,,I feel more comfortable like this.,,,落ち着[おちつ]く: 心[しん]が 安定[あんてい]する。,これくらい:この 程度[ていど]。,~んだよ: 説明[せつめい]・ 強調[きょうちょう]。,,コーヒーを 飲[の]むと 落ち着[おちつ]く。,これくらいの 距離[きょり]なら 歩[ある]ける。,彼[かれ]は 学生[がくせい]なんだよ。,,[sound:hypertts-385bad488b00bf053943ef3530b2f7ec35824f8e6bf0b1aa8e5bcb4b.mp3],[sound:hypertts-f154dc7fd7635684d4189107394a2da2ded77201fede121dc4a1ffe5.mp3],[sound:hypertts-f450a0ee701dd223f241477ec254db8d466b210782a141cb0c2842ce.mp3],
‎家じゅうを思い切って<br>‎整理することにしたから,‎ 家[いえ]じゅうを 思い切[おもいき]って<br>‎ 整理[せいり]することにしたから,家じゅうを思い切って整理することにしたから,"<img src=""Doraemon_S01E816_Episode_60060.jpeg"">",[sound:Doraemon_S01E816_Episode_59910.mp3],Mẹ đã quyết định mạnh dạn dọn dẹp cả nhà mình.,,,,I decided to boldly clean up the whole house.,,,思い切[おもいき]って:ためらわずに。,整理[せいり]する: 片付[かたづ]けて 整[ととの]える。,~ことにした: 決定[けってい]を 表[あらわ]す。,,思い切[おもいき]って 告白[こくはく]した。,机[つくえ]の 上[うえ]を 整理[せいり]する。,日本[にっぽん]へ 行[い]くことにした。,,[sound:hypertts-62656c19bc92f4e8bd342d14db9dd9b5a1bf14532e6e423adf5f8ec6.mp3],[sound:hypertts-98e812cd30eb8ad91aab8a6b8f748f559c14aab5a95abaa1ce894b87.mp3],[sound:hypertts-ab6a50e7c2ccba7fb381e8e3a0b975c06c3d7d27e82a615a7cc26715.mp3],
‎のび太も自分の部屋を<br>‎片づけなさい！,‎のび 太[た]も 自分[じぶん]の 部屋[へや]を<br>‎ 片[かた]づけなさい！,のび太も自分の部屋を片づけなさい,"<img src=""Doraemon_S01E816_Episode_63396.jpeg"">",[sound:Doraemon_S01E816_Episode_63246.mp3],"Nobita, con cũng phải dọn phòng của mình đi!",,,,"Nobita, you tidy up your room too!",,,片[かた]づける: 整理[せいり]する。,~なさい: 命令形[めいれいけい]の 丁寧[ていねい]。,自分[じぶん]: 自[みずか]ら。,,宿題[しゅくだい]を 片[かた]づけた。,早[はや]く 寝[ね]なさい。,自分[じぶん]の 意見[いけん]を 言[い]う。,,[sound:hypertts-2d8a4808f5f8af1923e5d0f476685150620e1ace15e2bbdceeb5f799.mp3],[sound:hypertts-6d890baa2254c216d28454bae3684aaa2618036e810b1bc017370ff7.mp3],[sound:hypertts-8b5258cbd4a6d3a555460a1407ffaa628f74849c29a6d15d89a2d5c6.mp3],
‎（ドラえもん）だから<br>‎片づけろって言ったのに,‎（ ドラ[どら]えもん）だから<br>‎ 片[かた]づけろって 言[い]ったのに,だから片づけろって言ったのに,"<img src=""Doraemon_S01E816_Episode_68401.jpeg"">",[sound:Doraemon_S01E816_Episode_68251.mp3],Vì thế tớ đã bảo cậu phải dọn dẹp rồi mà!,,,,That’s why I told you to clean up!,,,~ろ: 命令形[めいれいけい]。,~って: 引用[いんよう]の 口語[こうご] 表現[ひょうげん]。,のに: 不満[ふまん]・ 逆接[ぎゃくせつ]。,,宿題[しゅくだい]をやれ！と 言[い]った。,明日[あした] 行[い]くって 聞[き]いた。,こんなに 頑張[がんば]ったのに。,,[sound:hypertts-e390e91c071fba10fbc324bf4f3a46c822443fcbec648f1695a7706f.mp3],[sound:hypertts-aba2046d0c9e3eb3d411d0413ad01e01c27298e8937ff6019f4801db.mp3],[sound:hypertts-c2219ce08f05d18c01c57300f44bf1d82143b6055e624e9e0698f188.mp3],
‎（スネ夫(お)）だったら僕の部屋を<br>‎参考にしなよ,‎（スネ 夫[おっと](お)）だったら 僕[ぼく]の 部屋[へや]を<br>‎ 参考[さんこう]にしなよ,だったら僕の部屋を参考にしなよ,"<img src=""Doraemon_S01E816_Episode_87587.jpeg"">",[sound:Doraemon_S01E816_Episode_87437.mp3],Vậy thì lấy phòng của tớ làm tham khảo đi!,,,,"Then, use my room as a reference!",,,参考[さんこう]にする: 手本[てほん]にする。,~なよ: 軽[かる]い 命令[めいれい]。,だったら:もしそうなら。,,本[ほん]を 参考[さんこう]にして 書[か]いた。,早[はや]く 行[い]きなよ。,雨[あめ]だったら 中止[ちゅうし]する。,,[sound:hypertts-cebd6b2ac719c6c798287228d7d28905ff6dc34c991dbd4ffa6962ae.mp3],[sound:hypertts-08b3eebec998fa870aa6534bba2fdf02b2792c39ade8dfdd52e47417.mp3],[sound:hypertts-49c02e23fd93f698477db91c2babfc5aea3533013e2607d13686f2ae.mp3],
‎壁に収納できる物だけを残して<br>‎あとは全部捨てたんだ,‎ 壁[かべ]に 収納[しゅうのう]できる 物[もの]だけを 残[のこ]して<br>‎あとは 全部[ぜんぶ] 捨[す]てたんだ,壁に収納できる物だけを残してあとは全部捨てたんだ,"<img src=""Doraemon_S01E816_Episode_105855.jpeg"">",[sound:Doraemon_S01E816_Episode_105705.mp3],"Tớ chỉ giữ lại thứ treo tường được, còn lại vứt hết.",,,,I kept only what could be stored on the wall and threw the rest away.,,,収納[しゅうのう]: 物[ぶつ]をしまうこと。,捨[す]てる: 投[な]げて 処分[しょぶん]する。,残[のこ]す: 一部[いちぶ]を 取[と]っておく。,,洋服[ようふく]を 収納[しゅうのう]する。,ごみを 捨[す]てる。,メモを 残[のこ]す。,,[sound:hypertts-519d05cb743674e4ac823419110d8a1483148981a5d5d01057760272.mp3],[sound:hypertts-a95e7b62ddd7656152af8e098a5b2afb234b407f02e9751ce1547d11.mp3],[sound:hypertts-e4d09a449fcf4609f52c1f6e1106f941576fd7fc773843482ed46e4d.mp3],
‎今はなるべく<br>‎物をなくして暮らすのが<br>‎おしゃれなんだ,‎ 今[いま]はなるべく<br>‎ 物[ぶつ]をなくして 暮[く]らすのが<br>‎おしゃれなんだ,今はなるべく物をなくして暮らすのがおしゃれなんだ,"<img src=""Doraemon_S01E816_Episode_114823.jpeg"">",[sound:Doraemon_S01E816_Episode_114673.mp3],"Bây giờ, sống tối giản mới là hợp thời trang.",,,,"Nowadays, living with as few things as possible is stylish.",,,なるべく:できるだけ。,暮[く]らす: 生活[せいかつ]する。,おしゃれ: 流行[りゅうこう]に 合[あ]うこと。,,なるべく 早[はや]く 来[き]て。,都会[とかい]で 暮[く]らす。,おしゃれな 服[ふく]を 着[き]る。,,[sound:hypertts-6b08bfdc625347bd2e44696227a611bf4fd1be445d1c3611253a1f5f.mp3],[sound:hypertts-aac238db7eda4c9733dc6bdda952be785206cb880952f145b05ae5d0.mp3],[sound:hypertts-90836d906c90bf18099127e8f0b91be139a763bc00fe255e97b39f22.mp3],
‎パンツもシャツも枚数を決めて<br>‎１枚買ったら１枚捨てる,‎パンツもシャツも 枚数[まいすう]を 決[き]めて<br>‎１ 枚[まい] 買[か]ったら１ 枚[まい] 捨[す]てる,パンツもシャツも枚数を決めて１枚買ったら１枚捨てる,"<img src=""Doraemon_S01E816_Episode_119244.jpeg"">",[sound:Doraemon_S01E816_Episode_119094.mp3],"Quy định số lượng quần áo, mua 1 cái mới thì bỏ 1 cái cũ.",,,,"Decide the number of pants and shirts, and for every new one, throw one away.",,,枚数[まいすう]: 紙[し]や 服[ふく]の 数[かず]。,捨[す]てる: 物[ぶつ]を 処分[しょぶん]する。,決[き]める: 方針[ほうしん]を 決定[けってい]する。,,シャツの 枚数[まいすう]を 数[かぞ]える。,古新聞[ふるしんぶん]を 捨[す]てる。,日程[にってい]を 決[き]める。,,[sound:hypertts-dfe3413a3147a19553d2d2c20156c008b8dacfd43902f8da3124ce32.mp3],[sound:hypertts-ccd9b49cf2f07fdb37ff7c29ea9335d15cfff6cd6b9dde09cc341676.mp3],[sound:hypertts-2e51415847e101d04a9830e4ce07dd354bdb3f36090f37e710f4ff5e.mp3],
